,Mode,Indoor Temp,Indoor Humidity,Air Velocity,Globe Temperature,Outdoor Temp,Outdoor Humidity,Thermal Preference,User Id,Condition
210,NV,29.476764,74.0503044,0.18,30.1,92.0,56.0,No Change,33.0,19.0
211,NV,28.411007,73.146215,0.23,29.200000000000003,94.0,55.58012383,Cooler,38.0,17.0
212,NV,27.6887398,79.48061254999999,1.09,28.6,91.0,61.0,No Change,34.0,16.0
213,AC,25.83666515,69.80744999999999,0.59,26.55,88.0,63.0,Warmer,12.0,4.0
214,AC,26.2560186,65.42827985,0.09,27.75,89.0,53.0,Cooler,53.0,1.0
215,AC,25.74301335,73.34111730000001,0.86,26.25,91.0,57.0,No Change,56.0,4.0
216,NV,27.89164355,80.28480775,0.26,28.75,87.0,67.0,Cooler,9.0,17.0
217,AC,25.7184444,61.3057957,0.09,25.95,91.0,56.0,Warmer,15.0,2.0
218,NV,27.98451805,80.74121305,0.19,28.8,87.28795519,66.0,No Change,10.0,17.0
219,AC,25.6225691,72.066778,0.08,26.5,83.0,73.0,Warmer,2.0,1.0
220,AC,25.69550105,75.77646715,0.33,26.25,90.0,58.0,Warmer,59.0,3.0
221,AC,25.4869926,73.397505,0.19,25.9,88.0,61.0,Cooler,40.0,3.0
222,AC,25.6685343,70.25001710000001,0.61,26.1,91.0,56.0,No Change,25.0,4.0
223,NV,28.23171805,79.634805,0.79,29.200000000000003,90.0,60.0,No Change,23.0,19.0
224,NV,27.9660015,72.60140000000001,0.09,28.95,88.0,57.0,Cooler,51.0,17.0
225,NV,27.90806575,73.04190775000001,0.63,29.0,92.0,54.0,Cooler,60.0,19.0
226,AC,25.00824545,61.378465000000006,0.09,26.15,90.0,54.0,No Change,50.0,1.0
227,NV,28.97388325,75.5851074,0.36,29.65,89.0,59.0,No Change,18.0,19.0
228,AC,25.26369925,74.04795,0.32,25.8,92.0,58.70673745,No Change,47.0,3.0
229,NV,27.9270697,78.45029,0.68,28.95,91.0,58.0,No Change,35.0,16.0
230,NV,29.59664415,71.77473,0.76,30.35,92.0,53.0,Cooler,59.0,18.0
231,AC,24.733455,69.976585,0.15,26.4,90.0,60.0,Cooler,42.0,2.0
232,AC,25.68664,65.914108,0.35,26.15,89.0,53.0,No Change,54.0,3.0
233,NV,28.65853345,67.14589000000001,0.69,29.45,93.0,47.0,Cooler,48.0,17.0
234,AC,25.53432465,66.39678,1.02,26.15,89.0,57.0,No Change,54.0,4.0
235,NV,29.51381805,76.483585,1.02,30.200000000000003,92.0,57.0,Cooler,40.0,18.0
236,NV,29.7756462,71.74289305,0.13,30.4,92.0,55.0,Cooler,58.0,17.0
237,AC,24.9448845,69.454532,0.12,25.700000000000003,91.0,60.0,No Change,27.0,1.0
238,NV,27.5097694,71.02812499999999,1.15,28.35,92.0,55.0,No Change,56.0,19.0
239,AC,25.50149345,73.650155,0.15,25.950000000000003,88.61356048,60.0,Cooler,41.0,3.0
240,AC,25.12966155,67.89088000000001,0.35,25.65,95.0,53.0,No Change,31.0,4.0
241,AC,26.6239548,74.85732,0.26,27.15,93.0,54.45409424,No Change,34.0,3.0
242,NV,25.54950615,70.42307,0.03,25.950000000000003,93.0,52.0,Warmer,47.0,16.0
243,AC,24.6634434,69.0450629,0.11,25.7,91.0,56.0,No Change,32.0,1.0
244,AC,25.6408987,66.22472214999999,0.03,26.35,90.0,61.0,No Change,28.0,2.0
245,NV,29.3854444,74.40034485000001,0.84,30.15,91.0,58.0,No Change,18.0,18.0
246,NV,29.53199105,76.24749215,0.03,30.3,94.0,55.41261049,Cooler,40.0,16.0
247,AC,25.68664,65.914108,0.35,26.15,89.0,53.0,No Change,53.0,3.0
248,NV,27.2297106,80.2595253,0.63,28.35,88.0,62.0,No Change,12.0,19.0
249,NV,25.61384205,65.68623,0.67,25.950000000000003,90.0,62.0,No Change,33.0,18.0
250,NV,27.6999254,77.22011499999999,0.05,28.6,90.0,58.0,Cooler,27.0,16.0
251,NV,27.14934825,75.17565,0.48,28.05,87.0,62.0,No Change,52.0,18.0
252,NV,27.5875864,79.860165,0.23,28.7,91.0,59.0,Cooler,23.0,17.0
253,AC,24.86395285,71.27894,0.15,26.4,88.0,60.0,No Change,9.0,2.0
254,NV,27.5859369,76.22223275,0.58,28.55,88.82535889,59.0,No Change,54.0,19.0
255,NV,27.6999254,77.22011499999999,0.05,28.6,90.0,58.0,Cooler,30.0,16.0
256,NV,29.7398109,71.5426121,0.31,30.4,92.0,54.0,Cooler,59.0,17.0
257,AC,25.3101883,68.550695,0.73,25.950000000000003,88.0,63.94702991,Warmer,22.0,4.0
258,AC,25.2201032,61.53530775,0.18,25.8,89.0,57.0,No Change,52.0,4.0
259,AC,24.831316,72.60397735,0.17,25.950000000000003,92.0,56.0,Cooler,29.0,2.0
260,AC,25.2760258,76.474795,0.03,26.15,93.0,58.0,No Change,36.0,2.0
261,AC,25.66527555,75.88525,0.09,27.2,83.0,73.0,Cooler,1.0,2.0
262,NV,29.80188655,70.9149377,0.77,30.45,92.0,54.0,Cooler,57.0,18.0
263,AC,25.0596764,67.46126705,0.11,25.75,90.09168622,60.09168622,Cooler,30.0,1.0
264,AC,25.4045832,75.05785499999999,0.12,26.5,89.60338924,61.0,No Change,37.0,2.0
265,AC,24.70157335,65.082545,0.09,25.65,89.0,61.0,No Change,11.0,1.0
266,NV,29.71229365,76.92506,0.59,30.35,93.0,57.0,Cooler,39.0,18.0
267,NV,26.98065565,77.210965,0.34,27.95,90.0,58.0,No Change,30.0,18.0
268,AC,25.7988139,63.931682,0.07,26.85,89.0,57.0,No Change,49.0,2.0
269,NV,27.4584055,74.27718999999999,0.09,28.2,84.0,71.0,Cooler,4.0,17.0
270,NV,27.6431484,76.4995576,1.1,28.5,87.0,67.0,Cooler,5.0,19.0
271,NV,28.21487115,80.53101,0.09,29.1,88.0,66.0,Cooler,10.0,16.0
272,AC,24.6267538,64.140635,0.36,25.25,90.0,62.0,Warmer,20.0,4.0
273,NV,29.70415215,71.47286,0.41,30.35,92.0,54.0,No Change,60.0,18.0
274,AC,26.2560186,65.42827985,0.09,27.75,89.0,53.0,No Change,49.0,1.0
275,NV,26.64318375,77.81644,0.34,27.8,89.0,61.0,No Change,9.0,19.0
276,AC,24.2068288,67.79967500000001,0.06,25.25,87.0,66.0,No Change,19.0,1.0
277,AC,27.36964795,81.37462500000001,0.38,28.35,88.0,63.0,Cooler,7.0,4.0
278,NV,29.02581735,75.77595500000001,0.7,29.85,90.0,59.0,Cooler,40.0,19.0
279,NV,27.76193445,78.514075,0.25,28.7,87.0,65.0,No Change,3.0,18.0
280,AC,25.338814,70.02283,1.07,25.75,91.0,59.70249316,Warmer,43.0,4.0
281,AC,24.87424925,66.87863,0.02,25.55,90.0,64.0,Warmer,47.0,2.0
282,AC,25.68664,65.914108,0.35,26.15,89.0,53.0,No Change,49.0,3.0
283,NV,27.6302084,79.62815,0.25,28.75,91.0,58.95440393,Cooler,22.0,17.0
284,NV,29.8114805,71.02696499999999,0.15,30.5,92.0,54.0,Cooler,60.0,17.0
285,AC,25.173296,70.359755,0.04,26.3,83.0,73.0,Cooler,5.0,1.0
286,NV,29.13755095,75.01255499999999,0.78,29.65,90.16488071,59.0,No Change,14.0,19.0
287,AC,25.8863735,72.66152,0.03,26.9,91.0,57.0,No Change,57.0,2.0
288,NV,29.44348435,74.049395,0.86,30.2,89.0,58.0,Cooler,17.0,18.0
289,NV,29.8205519,76.342365,0.11,30.5,93.0,56.0,Cooler,38.0,16.0
290,NV,27.832695,68.15968000000001,0.06,28.200000000000003,93.0,47.0,Cooler,46.0,16.0
291,NV,28.21619415,79.23662235,1.0,29.15,91.0,59.0,Cooler,22.0,19.0
292,NV,29.45972285,73.77513705,0.55,30.3,91.0,59.0,Cooler,16.0,17.0
293,AC,25.15946105,72.66568275,0.16,25.75,93.0,55.0,No Change,35.0,2.0
294,AC,25.6525,66.83991499999999,0.18,26.0,90.0,63.0,No Change,48.0,3.0
295,NV,26.43474005,73.87907725,0.03,27.35,86.0,63.0,Cooler,54.0,16.0
296,AC,24.4892044,69.46825215,0.1,25.5,89.0,64.0,No Change,48.0,1.0
297,AC,25.1209661,67.08568955,0.17,26.05,89.0,61.71166203,No Change,9.0,4.0
298,NV,27.752233500000003,80.19243205000001,0.27,28.700000000000003,87.0,67.0,Cooler,7.0,17.0
299,NV,29.1448517,74.22372195,0.1,29.9,90.0,59.0,Cooler,14.0,16.0
300,AC,25.964097950000003,79.176118,0.91,27.0,90.0,61.0,No Change,27.0,4.0
301,AC,25.88930225,68.0987621,0.47,26.5,89.0,54.14254275,No Change,50.0,3.0
302,NV,27.4584055,74.27718999999999,0.09,28.2,84.0,71.0,No Change,1.0,17.0
303,AC,25.57991885,66.15097895,0.09,26.15,91.0,57.0,No Change,14.0,1.0
304,AC,24.7260895,62.652446,0.06,25.4,83.0,73.0,Cooler,4.0,2.0
305,AC,25.56912805,74.659505,0.79,26.0,89.0,60.0,Cooler,40.0,4.0
306,NV,29.51381805,76.483585,1.02,30.200000000000003,92.0,57.0,Cooler,42.0,18.0
307,NV,28.1810989,67.2262777,0.09,28.8,93.0,46.0,Cooler,48.0,19.0
308,AC,25.53478625,66.65420225,0.05,26.6,88.14702575,58.0,No Change,50.0,2.0
309,NV,27.5804081,79.19251285,0.26,28.5,91.0,61.0,Cooler,32.0,18.0
310,NV,27.72992225,77.1736231,0.08,28.6,90.0,58.0,Cooler,25.0,16.0
311,NV,29.1448517,74.22372195,0.1,29.9,90.0,59.0,Cooler,15.0,16.0
312,NV,27.29382705,75.76189,0.58,28.1,87.0,61.0,No Change,51.0,18.0
313,NV,27.90806575,73.04190775000001,0.63,29.0,92.0,54.0,Cooler,57.0,19.0
314,NV,29.8566381,75.98838275,0.14,30.45,93.0,56.0,Cooler,39.0,16.0
315,NV,27.752233500000003,80.19243205000001,0.27,28.700000000000003,87.0,67.0,Cooler,8.0,17.0
316,NV,27.46960355,76.7434977,0.31,28.45,88.0,60.0,No Change,50.0,19.0
317,NV,28.2296936,79.77403000000001,0.54,29.1,90.95917264,60.0,No Change,20.0,19.0
318,AC,25.4803936,67.208623,0.05,26.65,89.0,61.0,Cooler,12.0,2.0
319,NV,27.65568925,80.4292079,0.44,28.75,88.0,63.70919532,Cooler,10.0,18.0
320,AC,25.22068785,63.52592,0.35,26.1,83.0,73.0,No Change,6.0,4.0
321,AC,28.0483072,75.18605,1.06,28.9,91.0,55.0,No Change,14.0,4.0
322,NV,27.4584055,74.27718999999999,0.09,28.2,84.0,71.0,No Change,2.0,17.0
323,NV,28.22226865,79.94888,0.56,29.1,91.0,60.0,No Change,19.0,19.0
324,AC,25.5452836,57.64316,0.11,26.4,91.0,56.0,Cooler,14.0,2.0
325,AC,25.4416881,81.129065,0.72,26.1,95.0,51.46150004,No Change,32.0,4.0
326,AC,24.42423815,72.63083,0.04,25.4,87.0,67.0,No Change,20.0,1.0
327,NV,29.8222313,70.75213794999999,0.36,30.5,92.0,53.0,Cooler,56.0,17.0
328,NV,29.476764,74.0503044,0.18,30.1,92.0,56.0,No Change,32.0,19.0
329,AC,25.29827595,65.68046705,0.03,26.0,90.0,60.07665772,Cooler,25.0,2.0
330,NV,28.3410711,66.894015,0.1,29.0,93.27948813,46.72051187,No Change,47.0,19.0
331,AC,24.0617094,65.2737846,0.17,25.2,87.0,66.0,Cooler,22.0,2.0
332,AC,25.28754405,69.90267,0.34,25.85,91.0,58.0,No Change,28.0,3.0
333,NV,28.70465705,74.40958499999999,0.12,29.65,92.0,55.0,Cooler,60.0,16.0
334,AC,26.4224701,63.79737305,0.53,26.95,91.0,55.0,No Change,15.0,4.0
335,AC,25.5167483,76.30568285000001,0.81,26.0,89.0,59.0,No Change,42.0,4.0
336,AC,25.56912805,74.659505,0.79,26.0,89.0,60.0,No Change,37.0,4.0
337,NV,27.65568925,80.4292079,0.44,28.75,88.0,63.70919532,No Change,11.0,18.0
338,AC,26.22435675,78.84082000000001,0.53,27.35,83.0,73.0,Cooler,2.0,2.0
339,NV,29.3854444,74.40034485000001,0.84,30.15,91.0,58.0,Cooler,15.0,18.0
340,NV,27.54382515,75.882295,0.44,28.4,86.40827744,67.0,Cooler,5.0,17.0
341,NV,27.81130785,78.54907765,0.65,28.75,88.0,66.0,No Change,4.0,18.0
342,AC,25.217021,62.9532509,0.23,26.05,83.0,73.0,No Change,4.0,4.0
343,NV,28.899021150000003,77.11800005,0.05,29.700000000000003,90.0,62.0,Cooler,20.0,16.0
344,AC,25.7857256,73.1514,0.1,26.75,91.0,59.0,No Change,59.0,2.0
345,NV,27.72413065,75.60469434999999,0.11,28.65,88.83321587,58.0,No Change,50.0,17.0
346,AC,25.42730805,72.64931200000001,0.28,26.0,90.0,62.0,No Change,26.0,4.0
347,AC,29.26936685,75.98696000000001,0.42,30.1,91.0,58.0,No Change,16.0,4.0
348,AC,24.19105095,60.3192787,0.71,24.6,83.0,73.0,Warmer,2.0,4.0
349,NV,29.8566381,75.98838275,0.14,30.45,93.0,56.0,Cooler,37.0,16.0
350,NV,29.34126855,74.28265999999999,0.25,29.95,92.0,56.0,Cooler,31.0,19.0
351,NV,27.6431484,76.4995576,1.1,28.5,87.0,67.0,No Change,1.0,19.0
352,NV,28.70016365,68.11952,0.68,29.4,93.0,48.0,Cooler,45.0,17.0
353,AC,25.12966155,67.89088000000001,0.35,25.65,95.0,53.0,Warmer,36.0,4.0
354,AC,25.2951131,72.53571295,0.12,26.0,93.0,56.52934892,No Change,36.0,3.0
355,NV,26.48625645,74.276335,0.34,27.45,91.0,56.79489786,No Change,28.0,18.0
356,AC,25.00824545,61.378465000000006,0.09,26.15,90.0,54.0,No Change,54.0,1.0
357,NV,26.6446638,73.21355,0.02,27.5,82.0,76.0,Cooler,6.0,16.0
358,NV,29.53199105,76.24749215,0.03,30.3,94.0,55.41261049,Cooler,42.0,16.0
359,AC,24.79250525,67.83778,0.05,26.3,89.0,62.0,Cooler,38.0,1.0
360,AC,25.52099035,67.15142700000001,0.25,25.9,90.69874187,61.0,No Change,43.0,3.0
361,AC,29.2042246,76.43486999999999,0.48,30.0,87.63262761,58.0,Cooler,18.0,4.0
362,AC,24.70157335,65.082545,0.09,25.65,89.0,61.0,Cooler,8.0,1.0
363,NV,28.5421238,77.79976500000001,0.03,29.65,91.0,58.0,Cooler,32.0,17.0
364,AC,25.27756195,67.9945975,0.23,26.3,90.0,59.0,No Change,37.0,3.0
365,AC,25.19874095,68.78459000000001,0.07,25.9,89.69555292,63.0,Cooler,43.0,2.0
366,NV,26.43474005,73.87907725,0.03,27.35,86.0,63.0,Cooler,53.0,16.0
367,NV,28.1936712,74.08189,0.49,28.85,90.0,57.0,No Change,26.0,19.0
368,NV,27.53707505,78.5155,0.47,28.4,90.0,61.0,No Change,34.0,18.0
369,NV,28.16462815,80.59476,0.05,29.25,88.0,66.0,Cooler,8.0,16.0
370,NV,27.3063831,75.91471695,0.57,28.2,87.0,61.0,No Change,53.0,18.0
371,AC,25.0463774,67.89810499999999,0.06,25.75,90.0,60.0,No Change,28.0,1.0
372,AC,25.32947065,67.46198695000001,0.3,25.75,91.0,56.09573812,No Change,26.0,3.0
373,AC,24.52256165,66.73265075,0.09,25.1,87.0,64.0,No Change,20.0,2.0
374,NV,27.3566046,76.582235,0.56,28.25,87.17629594,62.0,No Change,54.0,18.0
375,NV,28.6000843,77.07266,0.04,29.6,91.0,59.0,Cooler,22.0,16.0
376,NV,29.0374832,75.75785,0.51,29.85,90.0,58.40393321,Cooler,39.0,19.0
377,AC,25.2760258,76.474795,0.03,26.15,93.0,58.0,No Change,31.0,2.0
378,NV,29.55438615,72.80058305,0.09,30.35,92.0,55.0,Cooler,56.0,16.0
379,AC,25.2951131,72.53571295,0.12,26.0,93.0,56.52934892,No Change,35.0,3.0
380,NV,29.34126855,74.28265999999999,0.25,29.95,92.0,56.0,Cooler,34.0,19.0
381,NV,29.34126855,74.28265999999999,0.25,29.95,92.0,56.0,No Change,36.0,19.0
382,AC,24.7888558,66.630715,0.05,25.6,94.0,54.0,No Change,31.0,3.0
383,AC,24.94427,68.71313,0.06,25.85,89.0,61.0,No Change,10.0,1.0
384,AC,25.6406717,67.26145555,0.34,26.0,90.0,63.0,No Change,46.0,3.0
385,NV,28.3574657,78.53474715,0.03,29.35,91.0,58.0,Cooler,31.0,17.0
386,AC,24.69044305,69.27887,0.04,25.7,91.0,56.47476051,No Change,36.0,1.0
387,NV,26.3269892,76.14605789999999,0.38,27.35,89.0,61.0,No Change,20.0,18.0
388,NV,25.86277155,67.22079500000001,0.84,26.15,89.45417428,62.54582572,No Change,31.0,18.0
389,AC,24.94346715,68.3360921,0.04,25.9,89.0,61.0,No Change,12.0,1.0
390,NV,26.64318375,77.81644,0.34,27.8,89.0,61.0,Cooler,7.0,19.0
391,NV,27.81130785,78.54907765,0.65,28.75,88.0,66.0,Cooler,5.0,18.0
392,AC,26.112540000000003,78.21490299999999,0.26,27.25,83.0,73.0,Warmer,3.0,2.0
393,AC,25.2760258,76.474795,0.03,26.15,93.0,58.0,No Change,32.0,2.0
394,NV,28.65853345,67.14589000000001,0.69,29.45,93.0,47.0,Cooler,43.0,17.0
395,AC,25.53432465,66.39678,1.02,26.15,89.0,57.0,No Change,49.0,4.0
396,AC,24.59179495,63.6278339,0.05,25.8,92.0,53.0,No Change,58.0,1.0
397,AC,24.8658533,68.89315500000001,0.23,25.95,83.0,73.0,No Change,4.0,1.0
398,NV,27.7569967,78.4944672,0.92,28.65,87.0,65.59896381,No Change,1.0,18.0
399,AC,25.46557855,77.5171,0.09,26.05,89.0,63.0,Cooler,58.0,2.0
400,AC,25.6632469,76.27038,0.44,26.25,90.0,58.0,Cooler,56.0,3.0
401,AC,23.86768435,65.7074075,0.15,25.25,90.0,62.0,No Change,41.0,2.0
402,NV,27.18658355,74.37285785,0.08,28.0,83.0,72.59119921,Cooler,4.0,16.0
403,NV,29.51381805,76.483585,1.02,30.200000000000003,92.0,57.0,Cooler,38.0,18.0
404,NV,28.3198684,78.718805,0.09,29.3,90.95943823,59.0,Cooler,19.0,16.0
405,AC,27.73055375,68.3111672,0.79,29.0,90.0,59.40369324,No Change,41.0,4.0
406,AC,24.6038218,63.8849528,0.3,25.25,90.0,62.0,No Change,23.0,4.0
407,NV,28.21487115,80.53101,0.09,29.1,88.0,66.0,Cooler,12.0,16.0
408,AC,24.89887235,69.08858000000001,0.17,25.8,93.0,55.0,No Change,32.0,3.0
409,NV,29.07201785,73.97003555,0.06,30.05,92.0,56.0,Cooler,55.0,16.0
410,NV,29.736228,71.6406024,0.21,30.4,92.0,54.0,Cooler,57.0,17.0
411,NV,27.70735,77.43589205,1.12,28.55,87.0,66.0,No Change,2.0,19.0
412,AC,25.89085005,64.568505,0.15,26.950000000000003,89.0,55.0,Cooler,51.0,2.0
413,AC,25.82350215,73.0244429,0.3,26.4,90.0,60.0,No Change,58.0,3.0
414,NV,27.07351905,79.363115,0.36,28.1,88.0,62.0,Cooler,8.0,19.0
415,AC,25.54381275,65.90142265,0.04,26.2,90.0,60.07728641,No Change,26.0,2.0
416,NV,28.1810989,67.2262777,0.09,28.8,93.0,46.0,Cooler,46.0,19.0
417,AC,24.201829,68.429675,0.12,25.25,87.0,66.0,No Change,22.0,1.0
418,AC,25.21854405,67.45137245000001,0.19,25.55,91.0,54.0,No Change,28.0,4.0
419,NV,28.07866765,73.87162755,1.03,28.85,90.0,56.0,No Change,27.0,19.0
420,AC,25.23486425,69.1292,0.03,25.9,89.0,63.0,Cooler,45.0,2.0
