Start Time,End Time,Mode
18/9/23 9:00,18/9/23 9:29,AC
18/9/23 9:30,18/9/23 10:29,NV
18/9/23 10:30,18/9/23 10:59,NV
18/9/23 11:00,18/9/23 12:00,AC
18/9/23 13:00,18/9/23 13:29,AC
18/9/23 13:30,18/9/23 14:29,NV
18/9/23 14:30,18/9/23 14:59,NV
18/9/23 15:00,18/9/23 15:59,AC
18/9/23 16:00,18/9/23 16:29,AC
18/9/23 16:30,18/9/23 17:30,NV
19/9/23 9:00,19/9/23 9:29,NV
19/9/23 9:30,19/9/23 10:29,AC
19/9/23 10:30,19/9/23 10:59,AC
19/9/23 11:00,19/9/23 12:00,NV
19/9/23 13:00,19/9/23 13:29,NV
19/9/23 13:30,19/9/23 14:29,AC
19/9/23 14:30,19/9/23 14:59,AC
19/9/23 15:00,19/9/23 15:59,NV
19/9/23 16:00,19/9/23 16:29,NV
19/9/23 16:30,19/9/23 17:30,AC
20/9/23 9:00,20/9/23 9:29,AC
20/9/23 9:30,20/9/23 10:29,NV
20/9/23 10:30,20/9/23 10:59,NV
20/9/23 11:00,20/9/23 12:00,AC
20/9/23 13:00,20/9/23 13:29,AC
20/9/23 13:30,20/9/23 14:29,NV
20/9/23 14:30,20/9/23 14:59,NV
20/9/23 15:00,20/9/23 15:59,AC
20/9/23 16:00,20/9/23 16:29,AC
20/9/23 16:30,20/9/23 17:30,NV
21/9/23 9:00,21/9/23 9:29,NV
21/9/23 9:30,21/9/23 10:29,AC
21/9/23 10:30,21/9/23 10:59,AC
21/9/23 11:00,21/9/23 12:00,NV
21/9/23 13:00,21/9/23 13:29,NV
21/9/23 13:30,21/9/23 14:29,AC
21/9/23 14:30,21/9/23 14:59,AC
21/9/23 15:00,21/9/23 15:59,NV
21/9/23 16:00,21/9/23 16:29,NV
21/9/23 16:30,21/9/23 17:30,AC
22/9/23 9:00,22/9/23 9:29,NV
22/9/23 9:30,22/9/23 10:29,AC
22/9/23 10:30,22/9/23 10:59,AC
22/9/23 11:00,22/9/23 12:00,NV
22/9/23 13:00,22/9/23 13:29,NV
22/9/23 13:30,22/9/23 14:29,AC
22/9/23 14:30,22/9/23 14:59,AC
22/9/23 15:00,22/9/23 15:59,NV
22/9/23 16:00,22/9/23 16:29,NV
22/9/23 16:30,22/9/23 17:30,AC
25/9/23 9:00,25/9/23 9:29,AC
25/9/23 9:30,25/9/23 10:29,NV
25/9/23 10:30,25/9/23 10:59,NV
25/9/23 11:00,25/9/23 12:00,AC
25/9/23 13:00,25/9/23 13:29,AC
25/9/23 13:30,25/9/23 14:29,NV
25/9/23 14:30,25/9/23 14:59,NV
25/9/23 15:00,25/9/23 15:59,AC
25/9/23 16:00,25/9/23 16:29,AC
25/9/23 16:30,25/9/23 17:30,NV
26/9/23 9:00,26/9/23 9:29,AC
26/9/23 9:30,26/9/23 10:29,NV
26/9/23 10:30,26/9/23 10:59,NV
26/9/23 11:00,26/9/23 12:00,AC
26/9/23 13:00,26/9/23 13:29,AC
26/9/23 13:30,26/9/23 14:29,NV
26/9/23 14:30,26/9/23 14:59,NV
26/9/23 15:00,26/9/23 15:59,AC
26/9/23 16:00,26/9/23 16:29,AC
26/9/23 16:30,26/9/23 17:30,NV
27/9/23 9:00,27/9/23 9:29,NV
27/9/23 9:30,27/9/23 10:29,AC
27/9/23 10:30,27/9/23 10:59,AC
27/9/23 11:00,27/9/23 12:00,NV
27/9/23 13:00,27/9/23 13:29,NV
27/9/23 13:30,27/9/23 14:29,AC
27/9/23 14:30,27/9/23 14:59,AC
27/9/23 15:00,27/9/23 15:59,NV
27/9/23 16:00,27/9/23 16:29,NV
27/9/23 16:30,27/9/23 17:30,AC
28/9/23 9:00,28/9/23 9:29,AC
28/9/23 9:30,28/9/23 10:29,NV
28/9/23 10:30,28/9/23 10:59,NV
28/9/23 11:00,28/9/23 12:00,AC
28/9/23 13:00,28/9/23 13:29,AC
28/9/23 13:30,28/9/23 14:29,NV
28/9/23 14:30,28/9/23 14:59,NV
28/9/23 15:00,28/9/23 15:59,AC
28/9/23 16:00,28/9/23 16:29,AC
28/9/23 16:30,28/9/23 17:30,NV
29/9/23 9:00,29/9/23 9:29,NV
29/9/23 9:30,29/9/23 10:29,AC
29/9/23 10:30,29/9/23 10:59,AC
29/9/23 11:00,29/9/23 12:00,NV
29/9/23 13:00,29/9/23 13:29,NV
29/9/23 13:30,29/9/23 14:29,AC
29/9/23 14:30,29/9/23 14:59,AC
29/9/23 15:00,29/9/23 15:59,NV
29/9/23 16:00,29/9/23 16:29,NV
29/9/23 16:30,29/9/23 17:30,AC